"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","MonthlyIncomeFact","pred_Monthly_income.log","pred_monthlyincome"
"1",3.49650756146648,"No","Travel_Rarely",4.77068462446567,"Sales",2.63905732961526,"Master","Life Sciences","Medium","Male",4.30406509320417,"High","2","Sales Executive","Very High","Divorced",8.39026849784257,9.13248693277132,1.09861228866811,"No",2.484906649788,"Excellent","High",2.19722457733622,1.38629436111989,"Good",1.79175946922805,1.09861228866811,0,1.38629436111989,"Average",8.63829138992485,5642.67873546166
"4",3.49650756146648,"No","Travel_Rarely",6.68710860786651,"Sales",0.693147180559945,"Master","Marketing","High","Female",3.89182029811063,"High","3","Sales Executive","Very High","Married",9.25177018173932,10.0871831648832,0.693147180559945,"No",2.99573227355399,"Excellent","High",2.70805020110221,1.38629436111989,"Better",2.70805020110221,2.39789527279837,1.79175946922805,2.07944154167984,"Very High",9.13310331455812,9255.70390562088
"6",3.3322045101752,"No","Travel_Frequently",5.68697535633982,"Research & Development",2.39789527279837,"College","Life Sciences","Very High","Male",3.49650756146648,"High","3","Manufacturing Director","Low","Divorced",9.08182494974075,8.47845236309981,0.693147180559945,"No",3.09104245335832,"Outstanding","High",2.30258509299405,1.6094379124341,"Good",2.30258509299405,2.07944154167984,0.693147180559945,2.07944154167984,"High",9.13100711902118,9236.32036714825
"8",3.63758615972639,"No","Travel_Rarely",5.73657229747919,"Sales",2.39789527279837,"Master","Life Sciences","Very High","Female",4.48863636973214,"Medium","2","Sales Executive","Very High","Divorced",8.80911625812527,10.0950991562372,1.09861228866811,"Yes",2.70805020110221,"Excellent","High",2.19722457733622,1.79175946922805,"Better",0.693147180559945,0,0,0,"High",8.62569343074793,5572.02587649324
"11",3.78418963391826,"No","Travel_Rarely",6.71417052990947,"Research & Development",1.94591014905531,"Bachelor","Medical","Low","Female",4.40671924726425,"Medium","5","Manager","High","Married",9.87266745519624,10.0230467875938,2.07944154167984,"No",2.63905732961526,"Excellent","Very High",3.09104245335832,1.09861228866811,"Better",2.83321334405622,2.56494935746154,1.94591014905531,2.70805020110221,"Very High",9.77572276567105,17600.2071311435
"14",3.43398720448515,"No","Travel_Rarely",5.31320597904179,"Sales",1.09861228866811,"Below College","Technical Degree","High","Male",4.29045944114839,"High","1","Sales Representative","Medium","Married",7.81480342948936,9.76623495910975,0.693147180559945,"No",2.94443897916644,"Excellent","Low",0.693147180559945,1.38629436111989,"Better",0.693147180559945,0,0,0,"Low",7.781427488591,2394.69220410796
"16",3.46573590279973,"No","Non-Travel",7.08086789669078,"Sales",3.04452243772342,"College","Marketing","Very High","Female",3.8286413964891,"High","2","Sales Executive","High","Married",8.84404789894249,10.1026252553835,0.693147180559945,"No",2.63905732961526,"Excellent","Very High",2.30258509299405,1.09861228866811,"Good",2.30258509299405,2.19722457733622,0,0,"High",8.52764123753396,5051.51408768401
"17",3.49650756146648,"No","Travel_Rarely",6.21260609575152,"Research & Development",1.38629436111989,"Master","Medical","High","Female",4.54329478227,"High","2","Manufacturing Director","Low","Married",8.81373589230022,9.51451076193277,0.693147180559945,"No",2.56494935746154,"Excellent","High",2.19722457733622,1.09861228866811,"Best",2.19722457733622,2.07944154167984,1.94591014905531,1.38629436111989,"High",8.65148994352569,5717.66087112709
"18",3.85014760171006,"No","Non-Travel",7.04315991598834,"Research & Development",2.07944154167984,"Master","Medical","High","Female",3.43398720448515,"High","2","Manufacturing Director","High","Married",8.56769617358934,9.68315255354396,1.09861228866811,"No",2.70805020110221,"Excellent","High",2.07944154167984,1.09861228866811,"Best",0.693147180559945,0,0,0,"Average",8.54576220786393,5143.90512499508
"27",3.66356164612965,"No","Travel_Rarely",7.1276936993474,"Sales",2.70805020110221,"Bachelor","Life Sciences","High","Male",4.39444915467244,"High","2","Sales Executive","Medium","Married",9.20281210555539,9.42189705403847,0,"No",2.484906649788,"Excellent","Very High",2.39789527279837,1.38629436111989,"Better",2.30258509299405,2.19722457733622,2.07944154167984,2.07944154167984,"High",8.61763033455966,5527.2707078801
